timestamp,value,value_classification,time_until_update,Open,Close,Low,High,Volume,change,RSI,SMA200,SMA50,SMA5,position,fear,greed,overbrough,oversell,10d_low,buy_ranking,sell_ranking
2022-08-28,28,Fear,,20041.03515625,19616.814453125,19616.814453125,20139.0546875,24366810591,-0.021201944769558057,29.34950065139532,,22343.746484375,20582.89921875,0,1,0,0,1,19616.814453125,2,0
2022-08-29,24,Extreme Fear,,19615.154296875,20297.994140625,19600.78515625,20357.462890625,32637854078,0.03472427641744291,36.768611611054055,,22332.4973828125,20363.494140625,0,1,0,0,0,19616.814453125,1,0
2022-08-30,27,Fear,,20298.611328125,19796.80859375,19617.640625,20542.64453125,34483360283,-0.024691382971281484,33.94422549920702,,22329.022421875,20002.675,0,1,0,0,0,19616.814453125,1,0
2022-08-31,23,Extreme Fear,,19799.58203125,20049.763671875,19799.58203125,20420.990234375,33225232872,0.012777568511970205,36.59164562294186,,22343.5394140625,19960.623828125,0,1,0,0,0,19616.814453125,1,0
2022-09-01,20,Extreme Fear,,20050.498046875,20127.140625,19653.96875,20198.390625,30182031010,0.0038592451457939436,37.417902518487544,,22341.8407421875,19977.704296875,0,1,0,0,0,19616.814453125,1,0
2022-09-02,25,Extreme Fear,,20126.072265625,19969.771484375,19814.765625,20401.568359375,29123998928,-0.007818752974256604,36.37961102013237,,22329.8377734375,20048.295703125,0,1,0,0,0,19616.814453125,1,0
2022-09-03,21,Extreme Fear,,19969.71875,19832.087890625,19698.35546875,20037.009765625,23613051457,-0.006894600364241943,35.45270326071778,,22309.75296875,19955.114453125,0,1,0,0,0,19616.814453125,1,0
2022-09-04,20,Extreme Fear,,19832.470703125,19986.712890625,19636.81640625,19999.689453125,25245861652,0.007796708085036963,37.38226217550568,,22285.6808984375,19993.0953125,0,1,0,0,0,19616.814453125,1,0
2022-09-05,23,Extreme Fear,,19988.7890625,19812.37109375,19673.046875,20031.16015625,28813460025,-0.008722884940063236,36.07287748137979,,22266.3414453125,19945.616796875,0,1,0,0,0,19616.814453125,1,0
2022-09-06,22,Extreme Fear,,19817.724609375,18837.66796875,18800.171875,20155.26953125,43403978910,-0.04919669232863699,29.790368950907432,,22193.381015625,19687.722265625,0,1,0,0,1,18837.66796875,2,0
2022-09-07,24,Extreme Fear,,18837.68359375,19290.32421875,18644.466796875,19427.171875,35239757134,0.024029314602578067,35.415843190425136,,22111.398828125,19551.8328125,0,1,0,0,0,18837.66796875,1,0
2022-09-08,20,Extreme Fear,,19289.94140625,19329.833984375,19076.71484375,19417.3515625,32194477850,0.0020481649337233954,35.898624461795436,,22033.360859375,19451.38203125,0,1,0,0,0,18837.66796875,1,0
2022-09-09,22,Extreme Fear,,19328.140625,21381.15234375,19310.962890625,21439.41015625,48469528171,0.10612188190716765,54.79333326231123,,21997.691328125,19730.269921875,0,1,0,0,0,18837.66796875,1,0
2022-09-10,28,Fear,,21376.912109375,21680.5390625,21168.72265625,21760.275390625,36913738894,0.014002365912589188,56.79499664312192,,21977.0025390625,20103.903515625,0,1,0,0,0,18837.66796875,1,0
2022-09-11,26,Fear,,21678.54296875,21769.255859375,21406.9453125,21770.552734375,34493951963,0.004092001431295067,57.39698337027068,,21963.0780859375,20690.22109375,0,1,0,0,0,18837.66796875,1,0
2022-09-12,25,Extreme Fear,,21770.1484375,22370.44921875,21603.896484375,22439.181640625,50212088965,0.027616624254801714,61.32913095418366,,21958.3037890625,21306.24609375,0,1,0,0,0,18837.66796875,1,0
2022-09-13,34,Fear,,22371.48046875,20296.70703125,20062.669921875,22673.8203125,51091116622,-0.09270006906083372,45.67058841446842,,21937.00390625,21499.620703125,0,0,0,0,0,18837.66796875,0,0
2022-09-14,27,Fear,,20184.5546875,20241.08984375,19793.396484375,20467.201171875,37872380889,-0.0027402074343571003,45.33626315519856,,21917.030625,21271.608203125,0,1,0,0,0,18837.66796875,1,0
2022-09-15,28,Fear,,20242.2890625,19701.2109375,19636.734375,20318.166015625,36389011503,-0.026672422800232853,42.11351689363172,,21852.4438671875,20875.742578125,0,1,0,0,0,18837.66796875,1,0
2022-09-16,20,Extreme Fear,,19704.005859375,19772.583984375,19400.076171875,19870.62890625,30123362273,0.003622774615297697,42.69348875542439,,21771.0178125,20476.408203125,0,1,0,0,0,19290.32421875,1,0
2022-09-17,22,Extreme Fear,,19777.033203125,20127.576171875,19777.033203125,20162.53125,24957448100,0.017953757980268437,45.612259709327894,,21697.4766796875,20027.83359375,0,1,0,0,0,19329.833984375,1,0
2022-09-18,27,Fear,,20127.234375,19419.505859375,19387.4921875,20127.234375,31254779144,-0.035179114785287124,41.114153808611434,,21612.74265625,19852.393359375,0,1,0,0,0,19419.505859375,1,0
2022-09-19,21,Extreme Fear,,19418.572265625,19544.12890625,18390.318359375,19639.48046875,40177002624,0.006417415961943007,42.19464888788747,,21536.8873046875,19713.001171875,0,1,0,0,0,19419.505859375,1,0
2022-09-20,23,Extreme Fear,,19545.591796875,18890.7890625,18813.455078125,19602.45703125,36791346508,-0.033428956945789956,38.23382870836841,,21448.4191015625,19550.916796875,0,1,0,0,0,18890.7890625,1,0
2022-09-21,23,Extreme Fear,,18891.283203125,18547.400390625,18290.314453125,19674.630859375,46363793975,-0.018177571658806957,36.3048649116085,,21359.804765625,19305.880078125,0,1,0,0,0,18547.400390625,1,0
2022-09-22,22,Extreme Fear,,18534.650390625,19413.55078125,18415.591796875,19456.91015625,41135767926,0.04669928789927913,43.98194913467919,,21291.145625,19163.075,0,1,0,0,0,18547.400390625,1,0
2022-09-23,20,Extreme Fear,,19412.400390625,19297.638671875,18617.552734375,19464.671875,38896078052,-0.005970680514919002,43.23100851581452,,21224.4792578125,19138.7015625,0,1,0,0,0,18547.400390625,1,0
2022-09-24,24,Extreme Fear,,19296.990234375,18937.01171875,18861.974609375,19310.197265625,26149643168,-0.01868762076318642,40.89173645328793,,21137.433203125,19017.278125,0,1,0,0,0,18547.400390625,1,0
2022-09-25,24,Extreme Fear,,18936.310546875,18802.09765625,18696.46875,19134.732421875,23359966112,-0.007124358610731463,40.019290618194674,,21054.2495703125,18999.53984375,0,1,0,0,0,18547.400390625,1,0
2022-09-26,21,Extreme Fear,,18803.900390625,19222.671875,18721.28515625,19274.873046875,44148798321,0.022368473265013344,44.028338385799415,,20975.1851953125,19134.594140625,0,1,0,0,0,18547.400390625,1,0
2022-09-27,20,Extreme Fear,,19221.83984375,19110.546875,18915.66796875,20338.455078125,58571439619,-0.005832956039052206,43.199344583978736,,20881.20640625,19073.993359375,0,1,0,0,0,18547.400390625,1,0
2022-09-28,20,Extreme Fear,,19104.62109375,19426.720703125,18553.296875,19688.34375,53071298734,0.016544467837213528,46.27142416479362,,20806.454453125,19099.809765625,0,1,0,0,0,18547.400390625,1,0
2022-09-29,22,Extreme Fear,,19427.779296875,19573.05078125,18924.353515625,19589.265625,41037843771,0.007532412719634118,47.681766544835526,,20718.9626171875,19227.017578125,0,1,0,0,0,18547.400390625,1,0
2022-09-30,21,Extreme Fear,,19573.431640625,19431.7890625,19265.662109375,20109.849609375,43975248085,-0.0072171538473359,46.415123329734534,,20628.4478125,19352.955859375,0,1,0,0,0,18547.400390625,1,0
2022-10-01,20,Extreme Fear,,19431.10546875,19312.095703125,19231.08203125,19471.154296875,18719537670,-0.0061596674907298254,45.316648769813824,,20526.633359375,19370.840625,0,1,0,0,0,18802.09765625,1,0
2022-10-02,24,Extreme Fear,,19311.849609375,19044.107421875,18970.62109375,19370.30859375,20765955327,-0.013876706359042923,42.87030493291117,,20419.034140625,19357.552734375,0,1,0,0,0,18802.09765625,1,0
