,Time,Open,High,Low,Close,Volume,Close time,Quota,Trade,buy_base,buy_quote,Ignore,TT,SMA200,SMA50,SMA5,10d_low,Buy,Sell,Buyprice,Sellprice,RSI,overbrough,oversell
257,1632096000000,47241.75000000,47347.25000000,42500.00000000,43015.62000000,78003.52444300,1632182399999,3457139274.30007093,1842231,36108.36295100,1600107748.56602710,0,2021-09-20,45818.5741,46549.79920000003,46717.58199999998,43015.62,0,0,42155.3076,43016.64000000,39.02956802439154,0,0
258,1632182400000,43016.64000000,43639.00000000,39600.00000000,40734.38000000,84534.08048500,1632268799999,3551997786.69035526,1820721,38942.74356000,1637800328.50388315,0,2021-09-21,45778.48745,46581.530400000025,45316.89399999997,40734.38,0,0,39919.6924,40734.09000000,34.49748804552073,0,0
259,1632268800000,40734.09000000,44000.55000000,40565.39000000,43543.61000000,58349.05542000,1632355199999,2482639471.90759590,1304011,29321.50660000,1248027083.19034100,0,2021-09-22,45751.7945,46688.26160000003,44565.619999999966,40734.38,0,0,42672.7378,43546.37000000,43.238447211816876,0,0
260,1632355200000,43546.37000000,44978.00000000,43069.09000000,44865.26000000,48699.57655000,1632441599999,2147211305.48208910,1196106,24503.00365000,1080404499.56495710,0,2021-09-23,45721.26205,46791.10320000002,43880.12399999997,40734.38,0,1,43967.9548,44865.26000000,46.83309514157674,0,0
261,1632441600000,44865.26000000,45200.00000000,40675.00000000,42810.57000000,84113.42629200,1632527999999,3596718231.05054862,1819744,41952.77658200,1794510963.77978142,0,2021-09-24,45673.43905,46830.06540000002,42993.88799999996,40734.38,0,0,41954.3586,42810.58000000,42.343535546860174,0,0
262,1632528000000,42810.58000000,42966.84000000,41646.28000000,42670.64000000,33594.57189000,1632614399999,1428238748.20952580,949787,16555.72950000,703947971.38327600,0,2021-09-25,45612.369750000005,46826.74080000002,42924.89199999997,40734.38,0,0,41817.2272,42670.63000000,42.04790828116815,0,0
263,1632614400000,42670.63000000,43950.00000000,40750.00000000,43160.90000000,49879.99765000,1632700799999,2124657079.27977650,1374145,24762.74447000,1055225792.12858580,0,2021-09-26,45548.91630000001,46798.508000000016,43410.19599999997,40734.38,0,0,42297.682,43160.90000000,43.535331184566076,0,0
264,1632700800000,43160.90000000,44350.00000000,42098.00000000,42147.35000000,39776.84383000,1632787199999,1728912299.80342430,1001487,19307.85346000,839585982.39070810,0,2021-09-27,45470.78725000001,46765.56760000002,43130.943999999974,40734.38,0,0,41304.403,42147.35000000,41.18203519650404,0,0
265,1632787200000,42147.35000000,42787.38000000,40888.00000000,41026.54000000,43372.26240000,1632873599999,1816305387.83885820,1045389,20710.09030000,867306872.21244550,0,2021-09-28,45389.811349999996,46661.03040000002,42363.19999999997,40734.38,0,0,40206.0092,41025.01000000,38.691343275590675,0,0
266,1632873600000,41025.01000000,42590.00000000,40753.88000000,41524.28000000,33511.53487000,1632959999999,1399625476.05637630,884909,16338.42660000,682466342.78705860,0,2021-09-29,45291.49079999999,46579.81620000001,42105.941999999966,40734.38,0,0,40693.7944,41524.29000000,40.414821038707224,0,0
267,1632960000000,41524.29000000,44141.37000000,41410.17000000,43824.10000000,46381.22781000,1633046399999,2005486003.56467730,1197815,23348.93974000,1009687948.22583360,0,2021-09-30,45215.769749999985,46546.07820000001,42336.63399999998,40734.38,0,1,42947.617999999995,43820.01000000,47.72685943319095,0,0
268,1633046400000,43820.01000000,48495.00000000,43283.03000000,48141.61000000,66244.87492000,1633132799999,3076094886.59247420,1771237,34156.88321000,1585411525.33782700,0,2021-10-01,45178.45179999999,46620.93040000001,43332.77599999997,41026.54,0,1,47178.777799999996,48141.60000000,58.117781399837924,0,0
269,1633132800000,48141.60000000,48336.59000000,47430.18000000,47634.90000000,30508.98131000,1633219199999,1459064880.53244480,996116,15180.50362000,726007609.15620260,0,2021-10-02,45132.12254999999,46617.62840000001,44430.28599999997,41026.54,0,1,46682.202,47634.89000000,56.6934239762055,0,0
270,1633219200000,47634.89000000,49228.08000000,47088.00000000,48200.01000000,30825.05601000,1633305599999,1482764462.19057740,1114294,15426.81514000,742443046.40754920,0,2021-10-03,45078.557749999985,46640.258400000006,45864.97999999997,41026.54,0,1,47236.0098,48200.01000000,57.931715663725114,0,0
271,1633305600000,48200.01000000,49536.12000000,46891.00000000,49224.94000000,46796.49372000,1633391999999,2258464361.12635660,1437692,23032.49140000,1112232800.78865170,0,2021-10-04,45036.44164999998,46685.28080000001,47405.11199999997,41026.54,0,1,48240.4412,49224.93000000,60.156910349743306,0,0
